epoch,update_time,train_loss,valid_loss,mcd
142,1533196025.75,29.361171549,31.1697932157,
143,1533196407.15,29.5527184226,31.1773015803,
144,1533196799.31,29.3689705242,31.2405692014,
145,1533197181.51,29.2987084822,31.2633353147,
146,1533197567.38,29.326589411,31.2231433175,
147,1533197953.03,29.5914060419,31.3357675726,
148,1533198325.99,29.4813747406,31.2800806219,
149,1533198700.9,29.3168272539,31.1534189744,
150,1533199072.82,29.4008679823,31.2331014113,
151,1533199449.06,29.5655789809,31.2530044209,
152,1533199829.33,29.056195866,31.1613871834,
153,1533200207.79,29.4843926863,31.3101168546,
154,1533200583.23,29.3380699158,31.2800804485,
155,1533200953.71,29.3851555911,31.4637544805,
156,1533201323.37,29.2173357877,31.2793504542,
157,1533201691.93,29.2866358324,31.2500801086,
158,1533202062.24,29.494213451,31.3581562042,
159,1533202439.51,29.265668002,31.2534940893,
160,1533202810.04,29.2469745983,31.4362253709,
161,1533203187.62,29.27223483,31.2949057492,
162,1533203558.59,29.4191643108,31.2926399925,
163,1533203919.54,29.144411087,31.2238982808,
164,1533204281.29,29.2968762138,31.3336224989,
165,1533204645.31,29.4458146529,31.3975887299,
166,1533205005.23,29.3836050901,31.4528978521,
167,1533205370.81,29.2625468861,31.4615124789,
168,1533205733.1,29.0572478554,31.3976071098,
169,1533206096.46,29.1093677174,31.31447636,
170,1533206458.56,29.0150292136,31.3673475439,
