epoch,update_time,train_loss,train_loss_mse,train_loss_kld,valid_loss,valid_loss_mse,valid_loss_kld,mcd
1,1533833059.56,53.5360801003,53.5360801003,2.98406767845,53.8481663791,53.8481663791,3.10313846848,
2,1533833563.92,50.1716100519,50.0681540749,3.00023460388,50.5876163136,50.4820518494,3.06136512756,
3,1533834076.8,46.7655070912,46.5390916304,3.28302036632,47.2121887207,46.9870463285,3.26456776532,
4,1533834583.19,45.062239907,44.7245577032,3.26425894824,45.311206124,44.9710804332,3.28788492896,
5,1533835095.78,44.6946979869,44.3039575057,2.83287384293,44.7709773671,44.3773033836,2.85413445126,
6,1533835606.78,43.8329235424,43.3406663374,2.85509282892,44.0708066767,43.5735712918,2.88396596909,
7,1533836116.32,43.7400217923,43.1675706343,2.76684399085,43.7419069464,43.1645663868,2.79048013687,
8,1533836608.7,43.4850231517,42.9465286948,2.23090548949,43.5739128806,43.0310554504,2.24898119406,
9,1533837117.17,42.8450750871,42.1886867176,2.3794083812,43.0086246837,42.3391609192,2.42680660161,
10,1533837634.66,42.5757806951,41.8831859935,2.2316941348,42.8895534169,42.190471996,2.25259557637,
11,1533838154.41,42.4943563288,41.6966309981,2.31340282614,42.8600817594,42.0549416976,2.33490761844,
12,1533838669.69,42.4193243547,41.6303228898,2.08009512858,42.7506699996,41.9550704956,2.09748931365,
13,1533839165.34,42.2201607444,41.4207427285,1.93192722581,42.5033232949,41.6992017573,1.94329420003,
14,1533839672.97,42.000341242,41.1905368458,1.80648562041,42.6549665278,41.837963451,1.82254404371,
15,1533840192.09,41.9392547607,41.149194544,1.63655303825,42.659540003,41.8658797524,1.64400979606,
16,1533840709.57,41.8886656328,41.0930647417,1.53816164624,41.9748791781,41.1693163785,1.55742183599,
17,1533841243.78,41.4548891241,40.6783055392,1.40755841949,41.9366670088,41.1660513444,1.39674017646,
18,1533841755.46,41.640437733,40.8710167625,1.31254099716,41.9295962941,41.1550452492,1.32129262794,
19,1533842255.85,41.4866256714,40.7760568099,1.14480585402,41.6703924699,40.947480982,1.16469021277,
20,1533842761.85,41.1674638228,40.459623857,1.08038739725,41.564416712,40.8580988104,1.07806410573,
21,1533843269.75,41.0094427629,40.2789757468,1.05917713859,41.5208941373,40.7901538502,1.05957314101,
22,1533843766.89,40.7635321184,40.077265306,0.947701763023,41.3462226174,40.6357914318,0.981071585959,
23,1533844270.0,41.0812235746,40.3522644043,0.960900653492,41.3082993247,40.5802646984,0.959681993181,
24,1533844786.7,40.9481239319,40.300158414,0.816999771378,41.340473175,40.670339411,0.844950833104,
25,1533845309.17,40.8497349132,40.2385590293,0.738503824581,41.1234994368,40.5039846247,0.748580477454,
26,1533845823.21,40.2932250283,39.6662365307,0.727306945757,40.9224437367,40.2815784108,0.743403163823,
27,1533846346.05,40.9616418318,40.3730770458,0.656475446441,41.2138512351,40.6090011597,0.674640287053,
28,1533846858.8,40.6074114713,40.0036718195,0.648460523649,40.9994291826,40.3823914961,0.662744131955,
29,1533847373.29,40.2241169323,39.6089404713,0.637146429582,40.9196791215,40.3035018227,0.63818409768,
30,1533847870.74,40.3884395253,39.7809673656,0.60747245225,40.9059264443,40.267117587,0.638809084892,
31,1533848377.21,40.2968971946,39.6245800365,0.672317499464,40.9721683155,40.306120439,0.666047751904,
32,1533848877.65,40.0819833929,39.5374769731,0.544506408951,40.7181986028,40.1589549672,0.559243874116,
33,1533849372.22,40.2312677557,39.7274742126,0.503793117675,40.7203223489,40.1915317882,0.528790398078,
34,1533849877.72,39.863844438,39.2744782188,0.58936610547,40.4792255055,39.8730031794,0.606222542849,
