epoch,update_time,train_loss,valid_loss,mcd,speaker_recognition_acc_eval
1,1534350009.84,60.1088024486,60.3603914434,,0.570596797671
2,1534350031.74,60.2856840654,61.0268648321,,0.727802037846
3,1534350054.16,137.11150152,137.734438809,,0.343522561863
4,1534350075.99,66.0445019115,66.469389482,,0.598253275109
5,1534350099.19,60.6475289085,61.2818197771,,0.75691411936
6,1534350121.66,68.209406766,68.9702266346,,0.620087336245
7,1534350143.84,61.2409917658,62.0190339522,,0.771470160116
8,1534350166.52,65.0012376959,65.0673963373,,0.777292576419
9,1534350188.8,67.88025804,67.9854757136,,0.767103347889
10.0,1534350235.41,71.9401931763,70.6473506581,15.7156996738,0.71615720524
11,1534350258.7,63.7638830705,63.6477751298,,0.771470160116
12,1534350280.2,64.4098756964,65.6160853993,,0.733624454148
13,1534350302.5,63.7970040061,64.0131177035,,0.783114992722
14,1534350325.37,67.2219252153,68.1734626076,,0.752547307132
15,1534350348.5,64.8667377125,66.5350910534,,0.751091703057
16,1534350371.85,66.2072473006,66.7086840543,,0.7903930131
17,1534350394.97,63.7501432245,64.5278934132,,0.807860262009
18,1534350417.89,63.714630127,64.6113967896,,0.82096069869
19,1534350440.08,67.4438774802,67.9978027344,,0.807860262009
20.0,1534350486.03,69.6426544189,69.4984415228,15.0069418233,0.761280931587
21,1534350508.77,67.9747897061,68.0705406883,,0.793304221252
22,1534350531.48,68.6918529164,68.7849835483,,0.796215429403
23,1534350552.6,66.0383571278,67.338283192,,0.834061135371
24,1534350575.58,66.8676078103,66.4430188266,,0.848617176128
25,1534350598.62,66.5915631381,68.2033164284,,0.806404657933
26,1534350620.96,67.369400718,67.3065442172,,0.852983988355
27,1534350643.84,66.7828285911,67.0798208063,,0.822416302766
28,1534350666.72,65.5508266796,66.2848059914,,0.834061135371
29,1534350690.0,64.167612596,64.6985546459,,0.84133915575
30.0,1534350736.19,64.9779486223,65.1172381314,11.8833045133,0.857350800582
31,1534350758.67,65.4515835155,65.7657120445,,0.879184861718
32,1534350780.83,65.3527315313,65.5006765886,,0.825327510917
33,1534350803.65,65.6921085011,66.454357494,,0.834061135371
34,1534350825.33,64.4089216752,64.810621435,,0.855895196507
35,1534350847.84,67.0021865151,67.6946314031,,0.847161572052
36,1534350870.66,65.8217527216,66.399055481,,0.852983988355
37,1534350893.48,65.9522621848,66.7273483276,,0.839883551674
38,1534350915.25,64.5518726002,65.742134441,,0.864628820961
39,1534350937.86,64.4401730624,65.7565165433,,0.877729257642
40.0,1534350984.89,64.8823998191,64.769153595,11.1779570776,0.870451237263
41,1534351007.82,64.2684284557,64.3838552995,,0.854439592431
42,1534351030.45,64.9833852595,66.1031154286,,0.870451237263
43,1534351053.34,65.110579404,65.0644569397,,0.870451237263
44,1534351075.83,68.615251021,68.6832157482,,0.834061135371
45,1534351098.38,64.5936983282,65.4953644492,,0.866084425036
46,1534351120.8,65.8805885315,67.0530659069,,0.842794759825
47,1534351142.43,64.7409425215,65.7432687933,,0.838427947598
48,1534351164.9,63.9098930359,65.4017243819,,0.879184861718
49,1534351186.67,64.8542449258,64.8558047902,,0.868995633188
50.0,1534351232.86,66.0480149009,68.3258999911,12.204274115,0.845705967977
51,1534351255.45,64.6017143943,65.3161159862,,0.886462882096
52,1534351277.97,65.1284994646,66.1051913175,,0.857350800582
53,1534351300.17,63.042115645,65.8494720459,,0.876273653566
54,1534351322.42,63.7239386819,64.5889434814,,0.847161572052
55,1534351345.93,63.2397793857,64.7397235524,,0.860262008734
56,1534351368.71,65.0438697121,65.6216302352,,0.882096069869
57,1534351391.88,63.9428156072,65.395651037,,0.864628820961
58,1534351413.48,65.4194707004,66.5787367387,,0.879184861718
59,1534351436.61,64.1163819053,65.5413946672,,0.874818049491
60.0,1534351483.77,66.1973863081,66.9855714278,11.5693812376,0.863173216885
61,1534351506.06,64.331756245,66.0730202415,,0.868995633188
62,1534351528.98,66.4839096069,67.6883049011,,0.88500727802
63,1534351552.13,63.5976083929,65.0966578397,,0.873362445415
64,1534351575.51,63.8438855951,64.7498883334,,0.883551673945
65,1534351597.81,67.2772306962,69.0164295543,,0.834061135371
66,1534351620.14,64.1317828785,64.5987160423,,0.880640465793
67,1534351642.59,63.7218822132,64.709431735,,0.873362445415
68,1534351665.33,63.4664816423,65.0288821134,,0.877729257642
69,1534351688.5,63.1166024642,64.8091905767,,0.874818049491
70.0,1534351735.47,65.3474929116,67.8551739779,12.0646762589,0.84133915575
71,1534351757.46,63.6590024775,65.7158008922,,0.867540029112
72,1534351780.51,63.3295697299,65.6019637368,,0.858806404658
73,1534351803.68,63.6997847124,66.1088170138,,0.848617176128
74,1534351827.06,61.9707835804,64.4656732733,,0.877729257642
75,1534351850.17,66.5563867742,66.7921042009,,0.870451237263
76,1534351873.03,64.1687948054,64.9183498729,,0.877729257642
77,1534351896.22,62.7607917786,63.65102005,,0.890829694323
78,1534351919.98,62.8810188987,65.0513905612,,0.871906841339
79,1534351941.75,63.2847466902,64.6626077132,,0.892285298399
80.0,1534351988.77,63.1509184404,65.4803255255,11.1085422983,0.870451237263
81,1534352011.3,64.9764355746,67.1250031211,,0.850072780204
82,1534352034.16,64.0475325151,65.2748503252,,0.889374090247
83,1534352057.44,61.339169589,64.4169512662,,0.867540029112
84,1534352080.46,64.4902371493,65.6221101934,,0.892285298399
85,1534352103.25,63.3412583091,64.7094865279,,0.886462882096
86,1534352126.06,62.7894779552,64.4273969477,,0.889374090247
87,1534352148.06,61.7492061962,63.3539154746,,0.889374090247
88,1534352171.11,62.6668500033,64.9726513949,,0.88500727802
89,1534352193.89,63.3650647944,65.0965295271,,0.88500727802
90.0,1534352240.66,63.9886252663,65.9748469266,10.8320654499,0.879184861718
