epoch,update_time,train_loss,train_loss_mse,train_loss_kld,valid_loss,valid_loss_mse,valid_loss_kld,mcd
90,1534062119.95,31.0725557154,31.0725557154,6.15299259533,32.4479238337,32.4479238337,6.18259052797,
91,1534062525.88,30.6013079557,30.6013079557,6.25995709679,31.9381915006,31.9381915006,6.3103927699,
92,1534062931.78,30.7303548293,30.7303548293,6.58044325222,31.8846206665,31.8846206665,6.58167188818,
93,1534063332.41,30.3390227231,30.3390227231,6.46657336842,31.7107564753,31.7107564753,6.44183553349,
94,1534063736.59,30.4858838862,30.4858838862,6.58036084609,31.8994959051,31.8994959051,6.64216995239,
95,1534064135.52,30.5880087072,30.5880087072,6.41621455279,31.7132362019,31.7132362019,6.4389666644,
96,1534064535.08,30.6106593392,30.6106593392,6.31405696002,31.6370690086,31.6370690086,6.30278392272,
97,1534064937.2,30.4654872201,30.4654872201,6.68402273005,31.5633284829,31.5633284829,6.66395586187,
98,1534065340.71,30.2010919398,30.2010919398,6.66820820895,31.5639941476,31.5639941476,6.68905158476,
99,1534065753.21,30.0887673118,30.0887673118,6.81259684129,31.6165187142,31.6165187142,6.83675635945,
100,1534066166.92,30.085240971,30.085240971,6.72756823626,31.6663348458,31.6663348458,6.77846479416,
101,1534066575.58,30.1060974815,30.1060974815,6.84582762285,31.4900011583,31.4900011583,6.89097365466,
102,1534066983.46,30.3089003129,30.1336968162,5.08090712807,31.784362793,31.6074312383,5.13101317666,
103,1534067391.61,30.5174354206,30.1849373904,4.8212239092,31.9659777555,31.6327632557,4.83161206679,
104,1534067788.62,30.6109563654,30.1459804882,4.49477044019,31.9892675226,31.5224598971,4.51247462359,
105,1534068190.06,30.8749788458,30.2751785625,4.34855144674,32.183394172,31.5828954523,4.3536122929,
106,1534068600.32,31.0156974792,30.2918040536,4.19858113202,32.3276261416,31.598963304,4.22624197873,
107,1534068998.07,30.9704683477,30.1285122958,4.06945401972,32.5664393685,31.7230550593,4.07635524056,
108,1534069400.53,31.3576268283,30.4349649603,3.82245696675,32.7197397405,31.7907059409,3.84885701266,
109,1534069800.02,31.471755808,30.4358263883,3.7552437999,32.7483791005,31.7077978308,3.77210552042,
110,1534070207.13,31.5600351854,30.4108942205,3.7027872259,32.8706172596,31.7139786807,3.7269459421,
111,1534070612.9,31.5149217085,30.259572636,3.64051248811,32.8843768727,31.629908475,3.63795937191,
112,1534071024.28,31.4780585549,30.2136162845,3.33353012258,32.883059415,31.6132940813,3.34756376527,
113,1534071424.0,31.5001820651,30.1578747142,3.2439093373,33.204871091,31.8682762493,3.23010351441,
114,1534071818.52,31.78266716,30.4174530723,3.04547819224,33.1928901672,31.8272228241,3.04648895697,
115,1534072203.74,31.6470591805,30.1885169636,3.02126607028,33.3394588124,31.8829983798,3.01695379344,
116,1534072609.54,31.6622819034,30.1829606836,2.86002156951,33.3277695396,31.8406800357,2.87503985925,
117,1534073006.96,31.8349976973,30.3766932054,2.64317690242,33.3668261441,31.9019303755,2.65512303873,
118,1534073396.78,32.0725496466,30.6094183488,2.49592999978,33.2587595853,31.79275426,2.50083158233,
119,1534073789.67,31.8322202509,30.3164383281,2.44209363244,33.3270391984,31.8182182312,2.4308785742,
120,1534074186.2,32.1278506192,30.6502342224,2.25530932166,33.3947906494,31.9117795771,2.26354434273,
121,1534074579.6,31.7844283364,30.2927839106,2.16288395361,33.3840273077,31.8820306605,2.17789487405,
122,1534074975.32,32.1214779941,30.7188722437,1.93693135001,33.6412939592,32.2338418094,1.94362547181,
123,1534075367.79,31.8965308449,30.5335480083,1.79665911198,33.4343785373,32.0537433624,1.81992778995,
124,1534075768.31,31.8784432845,30.5270309448,1.70395530354,33.360035983,31.9975773204,1.71788203716,
125,1534076159.3,31.9141599482,30.59469171,1.59435712207,33.4420960166,32.1162636497,1.60204746506,
126,1534076560.33,31.9973902269,30.734152187,1.46535586227,33.3789783825,32.1131173914,1.46839902618,
127,1534076952.79,31.8920399059,30.6532088193,1.38177323341,33.4223334573,32.176100991,1.39002837918,
128,1534077348.93,31.6606417569,30.5205584439,1.22453401305,33.2818228982,32.1184146188,1.24958666888,
129,1534077754.55,31.8640424555,30.8152441545,1.08625506271,33.2564138933,32.1962991194,1.09797639197,
