epoch,mcd,train_loss,update_time,valid_loss
90.0,,31.0282949417,1530607134.84,32.5582360354
91.0,5.43185748808,30.739312432,1530791224.71,32.186147343
92.0,,30.2734371532,1530788163.91,31.8887313496
93.0,,,1530788248.55,31.8887313496
