epoch,update_time,train_loss,train_loss_mse,train_loss_kld,valid_loss,valid_loss_mse,valid_loss_kld,mcd
1,1534102074.65,53.9337872592,53.9337872592,2.9710512378,54.0733784762,54.0733784762,3.06396105073,
2,1534102575.41,50.9382622459,50.5374544317,2.32468520511,51.1235088002,50.7224890969,2.32591208545,
3,1534103067.11,48.0410631353,47.3293134516,2.06407437541,48.3546159918,47.6453143033,2.05697377162,
4,1534103569.6,46.359792536,45.3906336698,1.87370791218,46.3776137612,45.4111179005,1.86855810339,
5,1534104068.73,45.8780645891,44.8550293662,1.48340072415,46.0044288635,44.9821687178,1.4822764505,
6,1534104565.48,45.7010206743,44.6409665888,1.22966341539,45.5072555542,44.4544559826,1.22124790062,
7,1534105063.42,44.6554991982,43.8063978715,0.820797654715,44.5639128252,43.708495747,0.826903581619,
8,1534105549.81,44.0158445185,43.2304777666,0.650732555173,44.3667592135,43.5892236883,0.644243392077,
9,1534106048.18,43.99707274,43.2043248957,0.574742485176,44.2491978732,43.4720157277,0.563456947153,
10,1534106541.45,43.5079956055,42.873335058,0.409003607251,43.7605490251,43.0901208357,0.43205379356,
11,1534107029.79,43.5374013727,43.0002975464,0.311520281163,43.5529247631,42.9458462108,0.352105506442,
12,1534112973.23,43.1882688349,42.7269023548,0.243266020309,43.3148765564,42.8235862038,0.259043933316,
13,1534113472.62,42.9849170338,42.5255310752,0.222036655654,43.0314129916,42.5680999756,0.223934928125,
14,1534113968.45,42.6897309043,42.1811960394,0.226885167035,43.1290910894,42.6244021329,0.225168885155,
15,1534114469.08,42.7215950706,42.2974974892,0.175697682933,42.9071617126,42.4723902616,0.180119784041,
16,1534114974.1,42.9320966547,42.5210165544,0.158950944516,43.0623331937,42.6356891285,0.164969032461,
17,1534115466.55,42.5439088995,42.1324899847,0.14913945916,42.901179227,42.4857937206,0.150577200407,
18,1534115971.83,42.5128798051,42.0336227417,0.163511067629,42.7838606401,42.2989612926,0.165436507626,
19,1534116457.74,42.372168801,41.9102533514,0.14883948253,42.7139188593,42.2660765214,0.14430459792,
20,1534116958.89,43.1013842496,42.6939170144,0.124384576624,43.0670006492,42.6217509183,0.135918502781,
21,1534117454.6,42.1736571572,41.7893732244,0.111442519183,42.7011243647,42.2931189104,0.118321653117,
22,1534117954.47,41.9380781,41.5713840831,0.101277372376,42.367454182,42.0126044533,0.0980059843172,
23,1534118456.62,42.0479316711,41.737650091,0.0818015404723,42.3388737765,41.9955978394,0.0905001380227,
24,1534118956.7,41.8111898249,41.4612447565,0.0882470411333,42.0757685575,41.7083386508,0.0926562391899,
25,1534119465.54,41.9266728488,41.6443644437,0.0682246634229,42.2600683732,41.9431232106,0.0765950368209,
26,1534119967.94,41.779094696,41.4023506858,0.0874045755376,42.201856093,41.7994200967,0.0933652289889,
27,1534120474.6,41.5189940713,41.2026609941,0.0705666772344,41.8623608676,41.5524441112,0.0691351497715,
28,1534120979.41,41.5568299727,41.2748180736,0.060580285774,41.9397423484,41.6268199574,0.0672203905203,
29,1534121480.27,41.3696282127,41.0438686718,0.0674787583676,41.8986785195,41.5727233887,0.0675192302601,
30,1534121971.11,41.1286614158,40.8546638489,0.0547995221886,41.7026533647,41.408085563,0.0589136965573,
31,1534122467.45,41.5443191528,41.2583503723,0.0571938434785,41.5563697815,41.2359466553,0.064084588804,
32,1534122964.73,41.1459503174,40.8844760548,0.0522948462855,41.5259305781,41.2195757086,0.0612709420648,
33,1534123459.67,41.5947220542,41.3537628867,0.0481918234039,41.6782451976,41.4221330123,0.0512224002318,
34,1534123949.43,41.0793016607,40.757567319,0.0643468204547,41.5112967058,41.1995547902,0.0623483515599,
35,1534124444.69,40.9960670471,40.7274027738,0.0537327734584,41.4334508722,41.1680575284,0.0530787967145,
36,1534124939.5,41.1605026939,40.912753712,0.0495497379452,41.687456998,41.4466580478,0.0481597825207,
37,1534125445.13,40.878318093,40.6512797963,0.0454077239741,41.4365501404,41.1729892384,0.0527121035213,
38,1534125950.99,40.5744542209,40.2810107144,0.0586886937645,41.0695145347,40.7923733104,0.0554282048886,
39,1534126443.05,40.8540174311,40.6187341863,0.0470565154471,41.4310382496,41.1890231046,0.0484031367708,
40,1534126944.91,40.8243869435,40.5803638805,0.0488046458499,41.4096402255,41.1484427019,0.0522394786504,
41,1534127439.9,39.9304490523,39.684662212,0.0491574779153,40.6240903681,40.350167708,0.0547845028341,
42,1534127935.25,40.1868612116,39.9572500749,0.0459223685955,40.9895473827,40.7535254739,0.0472043981268,
43,1534128434.66,40.9426567771,40.6780787381,0.0529156953774,41.4911672419,41.2139979276,0.055433797904,
44,1534128920.06,40.4962591691,40.2759871049,0.0440543283793,40.9019355774,40.6599946456,0.0483881238509,
45,1534129424.1,39.9146926186,39.6594026739,0.0510579903017,40.4205450578,40.1566234935,0.0527843369002,
46,1534129919.91,39.9477355263,39.7666313865,0.0362207373096,40.8539310802,40.6622193076,0.0383424371142,
47,1534130423.05,39.9523159374,39.6730183688,0.0558594617654,40.5571965304,40.3040768016,0.0506239187988,
48,1534130923.39,40.2282766862,40.026520469,0.0403512357311,40.86040046,40.6359676014,0.0448865829544,
49,1534131419.05,39.8211586692,39.6070220254,0.0428273986009,40.3415000222,40.0999072682,0.0483185286549,
50,1534131912.75,39.8645113165,39.6557669206,0.0417488401925,40.5457753268,40.3146809665,0.0462188652971,
51,1534132408.19,39.7393119118,39.5196404891,0.0439342993566,40.4253789728,40.2112246427,0.0428308786994,
52,1534132907.8,39.7823129134,39.5776159113,0.040939362381,40.494929227,40.2589336742,0.0471990630031,
53,1534133403.12,39.9459284002,39.7056978399,0.0480460094457,40.4911630804,40.232509613,0.0517306866294,
54,1534133898.0,39.6760146401,39.5198419744,0.0312344972044,40.2084919323,40.0031807639,0.0410621449013,
55,1534134397.02,39.2053891962,39.0059828325,0.0398813892495,39.9493144642,39.7313891324,0.0435850928453,
56,1534134896.78,39.5226714394,39.3331773931,0.0378988955847,40.2635924599,40.0484331304,0.043032003736,
57,1534135396.84,39.6798671376,39.4265837236,0.050656685775,40.2205949263,39.9583958712,0.052439800379,
58,1534135895.31,39.3879235008,39.1689661199,0.0437915541909,40.4111674916,40.1667653864,0.04888035357,
59,1534136398.37,38.814885573,38.6172530434,0.0395265130157,39.849935705,39.6254858537,0.0448900955645,
60,1534136894.3,39.6857809587,39.470984719,0.042959138243,40.2269297513,39.9949462197,0.0463967319917,
61,1534137392.03,38.901623119,38.7159423828,0.0371361296963,40.1852524497,39.9925349842,0.0385435711254,
62,1534137895.6,39.3453050093,39.1430365823,0.0404537481002,39.9757107821,39.7608698065,0.042968231846,
63,1534138395.76,39.1382092563,38.9425655712,0.0391287380321,40.2317470204,40.0053943287,0.0452705926516,
64,1534138899.69,39.1245418895,38.9307712208,0.0387541431595,39.8181145408,39.614187414,0.0407854447311,
65,1534139401.45,40.0599250793,39.8989930586,0.0321864753284,40.5951659463,40.4338243658,0.0322681668807,
66,1534139907.18,39.1725918163,38.991153717,0.0362875952639,40.1105142073,39.9182839827,0.0384461288764,
67,1534140407.84,39.0240877325,38.8227220015,0.0402730322358,39.9991538308,39.7886092446,0.0421087821438,
68,1534140904.75,38.83315936,38.6517590609,0.0362799767066,39.9175061313,39.7369450656,0.0361121930182,
69,1534141393.52,38.5766615434,38.3637050282,0.0425912405957,39.7523200295,39.5470633073,0.0410513904962,
70,1534141892.76,38.524901997,38.3384232955,0.0372956965796,39.8528872403,39.6699652238,0.0365843249654,
71,1534142393.11,38.669578899,38.4713883833,0.0396380546418,39.6955073964,39.4829791676,0.0425056859174,
72,1534142892.01,38.7123045488,38.5151748657,0.0394258502532,39.7674383684,39.5466981368,0.0441480908882,
73,1534143394.47,38.63095717,38.4473446933,0.0367224226621,39.5761104931,39.3869635842,0.0378293621946,
74,1534143883.81,38.4440123818,38.2665717385,0.0354881918227,39.7393864718,39.5586724715,0.036142739552,
75,1534144372.62,38.5914265026,38.4003483165,0.0382157073102,39.590681943,39.3924529336,0.0396458159455,
76,1534144867.68,38.4291191101,38.2400412126,0.0378155518662,39.5601928017,39.3584944985,0.0403396382251,
77,1534145365.27,38.6758731495,38.4963385842,0.0359068848193,39.8553678339,39.6866930181,0.0337349328805,
78,1534145859.14,38.2534907948,38.0827876004,0.0341406554322,39.5022898587,39.33736385,0.0329852861098,
79,1534146363.59,38.5524586764,38.3974231373,0.0310071120885,39.774032246,39.5999228738,0.0348219532858,
80,1534146862.96,38.8916372819,38.7322151878,0.0318844863637,40.003840013,39.8468898426,0.0313901029189,
81,1534147363.88,38.616029566,38.4198979464,0.0392263225195,39.5444207625,39.3686773127,0.0351487369361,
82,1534147858.89,38.359353499,38.1903207952,0.0338065436279,39.563651345,39.3612993414,0.0404704563658,
83,1534148345.97,38.1710818898,38.0454965071,0.0251172471114,39.6104295904,39.4882940813,0.0244269225408,
84,1534148841.64,38.8191299438,38.6566165577,0.0325027389283,39.9005175504,39.7299100702,0.0341214473275,
85,1534149344.87,38.5652784868,38.4359349337,0.0258686785502,39.6986364885,39.5654938438,0.0266286295585,
86,1534149844.58,38.456918543,38.335329576,0.0243179051375,39.8012182062,39.6674763073,0.0267484801059,
87,1534150336.2,38.7409192866,38.5785047358,0.0324828756804,40.2771474665,40.1240813515,0.0306132769381,
88,1534150828.42,38.0787787004,37.9641078602,0.0229342012582,39.3948603543,39.2539409291,0.028183943338,
89,1534151322.43,38.2313079834,38.0928462635,0.0276923840019,39.4855377891,39.3380536166,0.0294966435229,
90,1534151809.25,37.9516265176,37.8244882063,0.0254276884212,39.4781920693,39.3556352095,0.0245112924075,
