epoch,update_time,train_loss,valid_loss,mcd,speaker_recognition_acc_eval
1,1534344937.52,59.7147528908,59.8334593339,,0.569141193595
2,1534344959.6,58.867863395,59.1618170305,,0.615720524017
3,1534344982.03,59.2450402,59.9732905301,,0.729257641921
4,1534345004.41,68.9094085693,67.9625452215,,0.69577874818
5,1534345026.99,65.00390625,65.7937708768,,0.675400291121
6,1534345049.71,69.4862025868,68.6711453525,,0.678311499272
7,1534345071.47,67.7639742765,68.165755532,,0.713245997089
8,1534345093.52,73.5489460338,72.930220864,,0.656477438137
9,1534345115.35,64.8861403032,65.5827376626,,0.727802037846
10.0,1534345161.02,69.660570318,70.0083673651,14.7868057268,0.721979621543
11,1534345183.61,72.3306406195,71.9685987993,,0.717612809316
12,1534345205.93,69.4893965288,68.6578147195,,0.732168850073
13,1534345227.94,66.1883309104,67.4806046919,,0.775836972344
14,1534345249.82,63.3225628246,63.9788877314,,0.83114992722
15,1534345271.74,69.6996175593,68.9489746094,,0.761280931587
16,1534345293.89,64.9419056286,65.6272461631,,0.7903930131
17,1534345316.32,63.8769586737,64.1893012307,,0.7903930131
18,1534345338.14,65.2090079568,65.6705124595,,0.823871906841
19,1534345360.24,67.0584106445,67.2454993508,,0.759825327511
20.0,1534345406.26,64.6261027943,65.4111255299,12.1802845943,0.765647743814
21,1534345428.44,65.4744068493,65.8707816384,,0.809315866084
22,1534345450.49,65.395994013,65.9984886863,,0.812227074236
23,1534345472.69,65.4768184315,66.2440026023,,0.7903930131
24,1534345494.85,66.6175953258,66.6819815202,,0.783114992722
25,1534345516.85,66.5510174144,68.561429804,,0.740902474527
26,1534345539.0,66.8210241144,66.7709829157,,0.791848617176
27,1534345562.33,65.9649162292,65.0483093262,,0.758369723435
28,1534345583.5,64.8776394237,65.8598175049,,0.770014556041
29,1534345605.31,65.2839078036,66.3431132923,,0.777292576419
30.0,1534345651.62,70.965918801,72.3409125588,13.5843846313,0.730713245997
31,1534345673.77,70.6942277388,70.6774950894,,0.755458515284
32,1534345695.29,65.1752804843,66.3786347129,,0.752547307132
33,1534345717.54,68.782401345,70.2984584462,,0.7365356623
34,1534345739.37,65.7126482183,66.477296309,,0.787481804949
35,1534345761.8,66.8659397472,67.2719601718,,0.752547307132
36,1534345783.2,65.1738791032,66.6621648615,,0.774381368268
37,1534345805.51,63.7709121704,65.2171880549,,0.793304221252
38,1534345827.67,64.8552214883,65.3024916215,,0.7903930131
39,1534345850.5,66.1957470287,66.4681112116,,0.783114992722
40.0,1534345897.32,66.3483446295,66.5495945324,11.8037844149,0.791848617176
41,1534345919.61,65.9291863875,66.0333349055,,0.774381368268
42,1534345941.4,64.60273708,65.3258653121,,0.818049490539
43,1534345962.94,67.9848168113,68.1486053467,,0.759825327511
44,1534345985.48,65.5082345442,66.5745714361,,0.743813682678
45,1534346007.32,67.5566926436,68.6835951372,,0.774381368268
46,1534346029.96,64.4230145541,65.563465812,,0.802037845706
47,1534346052.82,64.668578408,66.1328402433,,0.803493449782
48,1534346074.24,66.3760160966,67.7254957719,,0.772925764192
49,1534346097.04,65.9283086603,67.9583792253,,0.812227074236
50.0,1534346144.2,64.0193814364,65.773710771,11.272194429,0.826783114993
51,1534346166.57,64.6857195767,65.7658330744,,0.791848617176
52,1534346189.37,65.4951435436,66.4936162775,,0.784570596798
53,1534346211.85,65.0092787309,65.9925641147,,0.7903930131
54,1534346233.88,66.6367090399,67.1354210593,,0.783114992722
55,1534346255.91,64.902887171,65.743332256,,0.812227074236
56,1534346278.52,66.6055887396,67.2920123014,,0.749636098981
57,1534346300.69,67.2408853011,68.7740964023,,0.764192139738
58,1534346323.42,67.1130544489,67.4858967174,,0.768558951965
59,1534346345.54,66.6308697787,67.1852347634,,0.786026200873
60.0,1534346391.93,65.1629246798,66.2286806974,11.6115787016,0.857350800582
61,1534346415.68,65.1090008129,66.0284798362,,0.804949053857
62,1534346438.07,67.8018126054,68.7127435858,,0.787481804949
63,1534346460.02,66.3894278786,66.7692302357,,0.804949053857
64,1534346482.22,66.8760951649,68.4717178345,,0.768558951965
65,1534346503.85,67.1622189608,68.8060316606,,0.80058224163
66,1534346526.29,66.2397426258,67.8254339045,,0.788937409025
67,1534346548.64,64.9387366555,66.2889841253,,0.796215429403
68,1534346571.3,66.0567651228,66.3279047879,,0.822416302766
69,1534346593.11,65.4516931014,67.4218160456,,0.81077147016
70.0,1534346638.86,65.2381966331,67.2446334145,11.670196709,0.812227074236
71,1534346661.17,64.0106097135,65.7582224066,,0.823871906841
72,1534346683.17,64.2739354914,65.6713777022,,0.818049490539
73,1534346705.26,63.9228806929,65.7795864452,,0.793304221252
74,1534346726.24,63.3693258112,65.1908694181,,0.819505094614
75,1534346747.66,66.4192050587,68.0650281039,,0.780203784571
76,1534346769.29,66.5892503912,68.4917942394,,0.797671033479
77,1534346790.75,64.7921895114,67.2674546675,,0.796215429403
78,1534346812.62,68.4597230391,69.8264825994,,0.758369723435
79,1534346834.7,65.1049735329,66.5511176369,,0.787481804949
80.0,1534346881.72,63.9796697443,66.4222294201,11.0503338417,0.819505094614
81,1534346903.39,65.2554661144,67.4320505316,,0.812227074236
82,1534346925.91,67.2622375488,67.5607424649,,0.807860262009
83,1534346948.55,64.6455934698,65.8923284357,,0.822416302766
84,1534346970.79,64.2024459839,65.6839391535,,0.82096069869
85,1534346993.18,66.3130240007,67.2449049516,,0.7903930131
86,1534347015.82,64.1979390925,66.4100511724,,0.803493449782
87,1534347038.02,65.0243290988,67.2747188915,,0.799126637555
88,1534347058.87,64.8245690086,66.9797619906,,0.835516739447
89,1534347080.89,66.1988580877,67.1266777732,,0.797671033479
90.0,1534347127.53,66.5252931768,67.9019733776,11.6684100035,0.796215429403
