epoch,update_time,train_loss,valid_loss,train_acc,valid_acc
1.0,1534244769.96,0.059459815371,0.0548779539425,0.9860951652,0.98981077147
2.0,1534244815.37,0.0293012372835,0.0289285212586,0.991452991453,0.992721979622
3.0,1534244860.65,0.0222675532097,0.0311717613685,0.993494068121,0.991266375546
4.0,1534244906.08,0.00942437703784,0.016783738657,0.998341625207,0.995633187773
5.0,1534244951.42,0.0226854448958,0.0175257061862,0.991070289578,0.98981077147
6.0,1534244996.77,0.00420705511247,0.0141626416166,0.99923459625,0.994177583697
7.0,1534245042.07,0.00405477793099,0.0125013656785,0.998851894374,0.991266375546
8.0,1534245087.41,0.00197758316633,0.0109609559215,0.999489730833,0.998544395924
9.0,1534245132.85,0.000661389847195,0.00331320568834,0.999744865417,0.998544395924
10.0,1534245178.19,0.000591295809115,0.00256922592871,0.999744865417,0.998544395924
11.0,1534245223.49,0.000443579561882,0.00204468031288,0.999744865417,0.998544395924
12.0,1534245268.77,0.000418253607345,0.00229747754946,0.999744865417,0.998544395924
13.0,1534245314.1,0.000378053252851,0.00199271077455,0.999872432708,0.998544395924
14.0,1534245359.46,0.000476555230495,0.000616078216767,0.999744865417,1.0
15.0,1534245404.75,0.000328975243759,0.00133197530553,0.999872432708,1.0
16.0,1534245450.0,0.000350376891513,0.00137673067192,0.999872432708,1.0
17.0,1534245495.33,0.0698829544634,0.0485595823901,0.977803291236,0.982532751092
18.0,1534245540.6,0.0247666394386,0.0465330118102,0.991580558745,0.985443959243
19.0,1534245585.83,0.0045030784777,0.016788773828,0.998341625207,0.995633187773
20.0,1534245631.1,0.00100886118109,0.0063463785954,0.999617298125,0.997088791849
