epoch,update_time,train_loss,train_loss_mse,train_loss_kld,valid_loss,valid_loss_mse,valid_loss_kld,mcd
90,1534152384.31,31.6032243208,31.5520293496,0.0102390223606,32.6908832897,32.6360237815,0.0109720464626,
91,1534152784.42,31.1878093373,31.1528875178,0.00698436034674,32.4496550127,32.4144670313,0.00703744061122,
92,1534153175.53,31.2730284604,31.2533324849,0.00393918143924,32.2172346982,32.1958444769,0.00427810538729,
93,1534153567.21,31.0884307515,31.0751009854,0.00266596068501,32.1468465978,32.1335896579,0.00265131330922,
94,1534153956.9,30.9784330888,30.9688006314,0.00192646972242,31.9883955175,31.9790899103,0.00186103082855,
95,1534154352.69,30.8910387213,30.8844214353,0.00132346038431,31.9903337305,31.9833394831,0.00139888913625,
96,1534154737.49,30.784257542,30.7795235027,0.000946736450053,31.8665540869,31.8618122448,0.000948309046428,
97,1534155117.72,30.8718296398,30.8689769398,0.000570521301018,31.9294355566,31.9261341095,0.000660305795133,
98,1534155510.23,30.4326733676,30.4305119948,0.000432303789156,31.9118572582,31.9093371305,0.000504031909672,
99,1534155890.18,30.6001181169,30.5985353643,0.000316567234801,31.8899742473,31.8881475275,0.000365301008887,
100,1534156272.02,30.693799279,30.6923103333,0.000297832895409,31.8461803089,31.844708356,0.000294308022024,
101,1534156650.03,30.5649849285,30.5637628382,0.000244394919719,31.8211513866,31.8199856498,0.000233128029239,
102,1534157045.54,30.4737139615,30.4728150801,0.00017975735748,31.8365135193,31.8355600184,0.000190656120222,
103,1534157424.97,30.6526123394,30.6518098658,0.000160534319796,31.7941833843,31.7934443734,0.000147858636575,
104,1534157802.19,30.6531070362,30.6524425853,0.000132876366313,31.867053292,31.8663519079,0.00014023070848,
105,1534158187.33,30.4346772974,30.4341543371,0.000104615985368,31.7841205597,31.7835677754,0.000110578885969,
106,1534158567.94,30.4745481664,30.4740305814,0.000103511598189,31.7903053977,31.7897938815,0.000102371091833,
107,1534158954.15,30.5395637859,30.5390238328,0.000108010463009,31.7901751778,31.7896709442,0.000100847110099,
108,1534159341.08,30.2340774536,30.233692516,7.69776495211e-05,31.8475617495,31.8471605128,8.02720857213e-05,
109,1534159729.18,30.4959978624,30.4954958829,0.000100370845757,31.7931867079,31.7927388278,8.9560110196e-05,
110,1534160110.55,30.4532142986,30.4527650313,8.98637206939e-05,31.8292765184,31.8288194483,9.13492020283e-05,
111,1534160497.44,30.4877487529,30.4874059504,6.85419588329e-05,31.8745734475,31.8742400083,6.66755847554e-05,
112,1534160875.61,30.2612282146,30.260917837,6.20666208058e-05,31.7645326094,31.7642260465,6.12928842284e-05,
113,1534161264.96,30.2059411136,30.2056319497,6.18649081099e-05,31.8521086953,31.8517662395,6.84525905606e-05,
114,1534161646.01,30.2542220029,30.2539440502,5.55938908788e-05,31.7242856459,31.7239976363,5.7590240348e-05,
115,1534162027.66,30.2375053059,30.2372394909,5.31678005328e-05,31.9795452465,31.9792747498,5.40995355219e-05,
116,1534162410.59,30.1992697282,30.1989870938,5.64757908499e-05,31.8670685508,31.8667448217,6.47878944371e-05,
117,1534162796.98,30.4476148432,30.4473332492,5.63315883152e-05,31.8906881159,31.8903928237,5.9048166308e-05,
118,1534163174.3,30.3556126681,30.3553326347,5.59995172477e-05,31.893246564,31.8929677443,5.56508824626e-05,
119,1534163555.71,30.1149491397,30.114678643,5.4061580489e-05,31.8455980474,31.8453447169,5.06141146947e-05,
120,1534163936.6,30.1258288297,30.1255911047,4.75725024775e-05,32.0195655823,32.0193204013,4.89885652231e-05,
121,1534164317.04,30.3483916196,30.3481575359,4.67612599922e-05,31.9526077617,31.9523407329,5.3466118433e-05,
122,1534164700.25,30.2354772741,30.2352034829,5.47648176673e-05,31.9180318659,31.917737614,5.8895282233e-05,
123,1534165079.9,30.4963150024,30.496080572,4.69334210555e-05,31.9681308053,31.9679059115,4.49586441391e-05,
124,1534165459.86,30.0692081451,30.0689588027,4.98841099298e-05,31.9270106229,31.9267487959,5.24192847396e-05,
125,1534165833.55,30.3013212031,30.3010234833,5.94928910273e-05,31.8997390053,31.8994527297,5.71966057495e-05,
126,1534166216.24,30.1781337044,30.1779138392,4.39703670219e-05,31.978262988,31.977995439,5.34644320644e-05,
127,1534166599.65,30.3282997825,30.3279711983,6.57480112833e-05,31.9127051614,31.9123725891,6.65447709749e-05,
128,1534166980.33,30.1827470606,30.1825063879,4.81667057929e-05,31.8630371094,31.8628115221,4.51955605637e-05,
129,1534167359.61,30.1228939403,30.1226465052,4.94813297833e-05,31.8326454163,31.8323719718,5.46163954079e-05,
130,1534167737.63,30.3410585577,30.3408353979,4.45735816108e-05,31.9844958565,31.9842643738,4.6382484222e-05,
131,1534168121.87,30.3047122955,30.3044948578,4.34300147225e-05,32.0270590349,32.0268072648,5.02733405896e-05,
132,1534168497.28,30.1687339436,30.1684979525,4.7205542201e-05,32.0960481817,32.0957979722,5.00580039939e-05,
133,1534168881.82,30.0868193886,30.0865847848,4.68889616472e-05,31.9862806147,31.9860245098,5.12113798653e-05,
134,1534169260.21,30.1944900859,30.1942081451,5.64262343026e-05,31.909256675,31.9089272239,6.58304879008e-05,
135,1534169634.89,30.158499631,30.1583191265,3.61007269848e-05,31.8729636452,31.8727625067,4.02917433927e-05,
136,1534170007.13,30.0845192996,30.0842893774,4.59902376778e-05,31.8746540763,31.8744040402,4.99424164776e-05,
137,1534170382.23,30.2102368095,30.2100176378,4.38731823868e-05,31.8958500949,31.895578211,5.43750012928e-05,
